continent,iso_country,iso_region,municipality,iata_code
SA,BR,BR-AP,Macapá,MCP
SA,EC,EC-L,Macará,MRR
SA,EC,EC-S,Macas,XMS
AS,MO,MO-U-A,Macau,MFM
OC,AU,AU-NT,Macdonald Downs,MNW
SA,BR,BR-AL,Maceió,MCZ
AF,GN,GN-N,Macenta,MCA
SA,EC,EC-O,Machala,MCH
SA,PE,PE-HUC,Machu Pichu,MFT
OC,AU,AU-QLD,Mackay,MKY
NA,US,US-MI,Mackinac Island,MCD
NA,CA,CA-YT,Macmillan Pass,XMP
NA,US,US-IL,Macomb,MQB
NA,US,US-GA,Macon,MAC
NA,US,US-GA,Macon,MCN
OC,PG,PG-MPM,Madang,MAG
NA,US,US-CA,Madera,MAE
NA,US,US-MS,Madison,DXE
NA,US,US-IN,Madison,MDN
NA,US,US-CT,Madison,MPE
NA,US,US-WI,Madison,MSN
NA,US,US-SD,Madison,XMD
NA,US,US-OR,Madras,MDJ
EU,ES,ES-M,Madrid,ECV
EU,ES,ES-M,Madrid,MAD
EU,ES,ES-M,Madrid,TOJ
AS,IN,IN-TN,Madurai,IXM
AS,TH,TH-58,Mae Hong Son,PYY
OC,VU,VU-PAM,Maewo Island,MWF
AF,ZA,ZA-NW,Mafeking,MBD
AF,LS,LS-E,Mafeteng,MFC
AF,TZ,TZ-19,Mafia Island,MFA
SA,BR,BR-SC,Mafra,QMF
AS,JO,JO-MA,Mafraq,OMF
AS,RU,RU-MAG,Magadan,GDX
EU,RU,RU-SA,Magan,GYG
SA,CO,CO-BOL,Magangué,MGN
AF,MZ,MZ-Q,Maganja,MJS
AF,MZ,MZ-I,Magaruque Island,MFW
EU,RU,RU-IN,Magas,IGT
EU,RU,RU-AMU,Magdagachi,GDG
SA,BO,BO-B,Magdalena,MGD
EU,DE,DE-ST,Magdeburg,CSO
EU,DE,DE-ST,Magdeburg,ZMG
EU,RU,RU-BA,Magnitogorsk,MQF
NA,US,US-AR,Magnolia,AGO
AS,MM,MM-03,Magway,MWQ
AF,MG,MG-A,Mahanoro,VVB
SA,GY,GY-PT,Mahdia,MHA
AF,SC,SC-20,Mahe Island,SEZ
AS,NP,NP-MA,Mahendranagar,XMG
OC,KI,KI-G,Maiana,MNK
AF,NG,NG-BO,Maiduguri,MIU
AS,ID,ID-MA,Maikoor Island,BJK
OC,AU,AU-NT,Mainoru,MIZ
AF,MG,MG-M,Maintirano,MXT
NA,CU,CU-14,Maisi,UMA
OC,MH,MH-NMU,Majkin,MJE
OC,MH,MH-MAJ,Majuro Atoll,MAJ
AF,CG,CG-9,Makabana,KMK
AS,ID,ID-SN,Makale,TTR
EU,RU,RU-DA,Makhachkala,MCX
OC,KI,KI-G,Makin Island,MTK
OC,PG,PG-MPL,Makini,MPG
AS,JP,JP-22,Makinohara / Shimada,FSZ
NA,CA,CA-NL,Makkovik,YMN
AF,GA,GA-6,Makokou,MKU
AF,CG,CG-8,Makoua,MKJ
AS,TW,TW-PEN,Makung City,MZG
AF,NG,NG-BE,Makurdi,MDI
OC,PG,PG-ESW,Mal Island,MMV
AS,PH,PH-LAS,Malabang,MLP
AF,GQ,GQ-BN,Malabo,SSG
AS,MY,MY-04,Malacca,MKZ
EU,ES,ES-AN,Málaga,AGP
AF,MG,MG-U,Malaimbandy,WML
AF,SS,SS-23,Malakal,MAK
OC,PG,PG-GPK,Malalaua,MLQ
OC,PG,PG-WPD,Malam,MQO
AF,ZA,ZA-NP,Malamala,AAM
AS,ID,ID-JI,Malang-Java Island,MLG
AF,AO,AO-MAL,Malanje,MEG
SA,AR,AR-M,Malargue,LGS
AS,TR,TR-44,Malatya,MLX
AS,TR,TR-44,Malatya,MLX
AS,PH,PH-AKL,Malay,MPH
AS,IN,IN-WB,Malda,LDA
NA,US,US-MO,Malden,MAW
AS,MV,MV-MLE,Malé,MLE
OC,VU,VU-MAP,Malekula Island,SWJ
AF,ZA,ZA-MP,Malelane,LLE
AS,TL,TL-BO,Maliana,MPT
AS,ID,ID-NT,Maliana-Alor Island,MPT
AF,KE,KE-300,Malindi,MYD
EU,SE,SE-M,Malmö,MMX
OC,MH,MH-MAL,Maloelap Island,MAV
OC,FJ,FJ-W,Malolo Lailai Island,PTF
EU,NO,NO-19,Målselv,BDU
NA,US,US-MT,Malta,MLK
OC,PG,PG-CPM,Mamai,MAP
AF,CM,CM-SW,Mamfe,MMF
NA,PA,PA-KY,Mamitupo,MPI
NA,US,US-CA,Mammoth Lakes,MMH
AF,MG,MG-M,Mampikony,WMP
AS,ID,ID-SN,Mamuju-Celebes Island,MJU
OC,FJ,FJ-W,Mana Island,MNF
AS,ID,ID-SA,Manado-Celebes Island,MDC
NA,NI,NI-MN,Managua,MGA
AS,BH,BH-15,Manama,BAH
AF,MG,MG-A,Mananara Nord,WMR
OC,PG,PG-NPP,Manari,MRM
NA,US,US-VA,Manassas,MNZ
AS,MM,MM-16,Manaung,MGU
SA,BR,BR-AM,Manaus,MAO
SA,BR,BR-AM,Manaus,PLL
EU,GB,GB-ENG,Manchester,MAN
NA,US,US-NH,Manchester,MHT
EU,DE,DE-BY,Manching,IGS
AF,MG,MG-U,Mandabe,WMD
AS,MM,MM-04,Mandalay,MDL
AS,MN,MN-059,Mandalgobi,MXW
AF,KE,KE-500,Mandera,NDE
NA,JM,JM-12,Mandeville,MVJ
OC,AU,AU-WA,Mandora,MQA
AF,MG,MG-M,Mandritsara,WMA
OC,PG,PG-NSB,Manetai,MVI
OC,PG,PG-NIK,Manga Mission,MGP
OC,CK,CK-U-A,Mangaia Island,MGS
AS,IN,IN-KA,Mangalore,IXE
AS,PK,PK-PB,Mangla,XJM
AF,MW,MW-MG,Mangochi,MAI
AS,ID,ID-MU,Mangole Island,MAL
NA,BS,BS-KB,Mangrove Cay,MAY
OC,PG,PG-EBR,Manguna,MFO
AS,ID,ID-SS,Mangungaya-Sumatra Island,MJY
NA,US,US-KS,Manhattan,MHK
SA,BR,BR-AM,Manicoré,MNX
OC,CK,CK-U-A,Manihiki Island,MHX
NA,GL,GL-U-A,Maniitsoq,JSU
AS,PH,PH-U-A,Manila,MNL
OC,AU,AU-NT,Maningrida,MNG
NA,US,US-MI,Manistee,MBL
NA,US,US-MI,Manistique,ISQ
NA,CA,CA-ON,Manitouwadge,YMG
NA,CA,CA-ON,Manitowaning,YEM
NA,CA,CA-QC,Maniwaki,YMW
SA,CO,CO-CAL,Manizales,MZL
AF,MG,MG-U,Manja,MJA
NA,US,US-AK,Manley Hot Springs,MLY
EU,DE,DE-BW,Mannheim,MHG
NA,US,US-AK,Manokotak,KMO
AS,ID,ID-PB,Manokwari-Papua Island,MKW
AF,CD,CD-KA,Manono,MNO
AF,ZM,ZM-04,Mansa,MNS
AS,PK,PK-NW,Mansehra,HRA
NA,US,US-OH,Mansfield,MFD
EU,GB,GB-ENG,Manston,MSE
SA,EC,EC-M,Manta,MEC
NA,US,US-NC,Manteo,MEO
NA,US,US-UT,Manti,NTJ
OC,PG,PG-CPM,Manumu,UUU
OC,NZ,NZ-AUK,Manurewa,AMZ
OC,PG,PG-MRL,Manus Island,MAS
NA,US,US-NJ,Manville,JVI
NA,CU,CU-12,Manzanillo,MZO
NA,MX,MX-COL,Manzanillo,ZLO
AF,SZ,SZ-MA,Manzini,MTS
AF,SZ,SZ-LU,Manzini,SHO
AF,TD,TD-KA,Mao,AMO
OC,WS,WS-PA,Maota,MXS
NA,CA,CA-BC,Maple Bay,YAQ
OC,PG,PG-WPD,Mapoda,MPF
AS,PH,PH-TAW,Mapun,CDY
AF,MZ,MZ-MPM,Maputo,MPM
SA,AR,AR-R,Maquinchao,MQD
SA,AR,AR-B,Mar del Plata,MDQ
AF,KE,KE-700,Mara Lodges,MRE
SA,BR,BR-PA,Marabá,MAB
SA,VE,VE-V,Maracaibo,MAR
SA,VE,VE-D,Maracay,MYC
AF,NE,NE-4,Maradi,MFQ
AS,IR,IR-01,Maragheh,ACP
OC,KI,KI-G,Marakei,MZK
AS,PH,PH-BUK,Maramag,XMA
OC,PG,PG-EPW,Maramuni,MWI
NA,US,US-AZ,Marana,MZJ
NA,CA,CA-ON,Marathon,YSP
OC,SB,SB-GU,Marau,RUS
OC,PG,PG-EHG,Marawaka,MWG
NA,HN,HN-LP,Marcala,MRJ
NA,US,US-FL,Marco Island,MRK
AS,TR,TR-47,Mardin,MQM
OC,NC,NC-U-A,Maré,MEE
AS,YE,YE-MA,Mareb,MYN
NA,US,US-TX,Marfa,MRF
OC,PG,PG-SHM,Margarima,MGG
AF,ZA,ZA-NL,Margate,MGH
EU,GB,GB-ENG,Marham,KNF
EU,CZ,CZ-KA,Mariánské Lázně,MKA
NA,US,US-GA,Marietta,MGE
NA,DM,DM-02,Marigot,DOM
SA,BR,BR-SP,Marília,MII
NA,US,US-CA,Marina,OAR
EU,IT,IT-52,Marina  Di Campo,EBA
SA,BR,BR-PR,Maringá,MGF
NA,US,US-OH,Marion,MNN
NA,US,US-IL,Marion,MWA
NA,US,US-IN,Marion,MZZ
SA,GF,GF-SL,Maripasoula,MPY
NA,US,US-CA,Mariposa,RMY
SA,CO,CO-TOL,Mariquita,MQU
SA,PY,PY-19,Mariscal Estigarribia,ESG
EU,UA,UA-14,Mariupol,MPW
EU,RU,RU-CHU,Markovo,KVM
NA,US,US-MS,Marks,MMS
AS,OM,OM-ZU,Marmul,OMM
OC,AU,AU-QLD,Maroochydore,MCY
AF,CM,CM-EN,Maroua,MVR
OC,AU,AU-NT,Marqua,MQE
NA,US,US-MI,Marquette,MQT
AF,MA,MA-MAR,Marrakech,RAK
AF,MZ,MZ-S,Marromeu,RRM
AF,EG,EG-BA,Marsa Alam,RMF
AF,KE,KE-400,Marsabit,RBT
EU,FR,FR-U,Marseille,MRS
NA,BS,BS-MH,Marsh Harbour,MHH
NA,US,US-TX,Marshall,ASL
NA,US,US-MO,Marshall,MHL
NA,US,US-AK,Marshall,MLL
NA,US,US-MN,Marshall,MML
NA,US,US-WI,Marshfield,MFI
NA,US,US-MA,Martha's Vineyard,MVY
NA,US,US-WV,Martinsburg,MRB
AS,MY,MY-13,Marudi,MUR
AS,TM,TM-M,Mary,MYP
NA,CA,CA-NL,Mary's Harbour,YMH
NA,US,US-CA,Marysville,BAB
NA,US,US-CA,Marysville,MYV
OC,PG,PG-MPL,Masa,MBV
AS,IL,IL-D,Masada,MTZ
AF,KE,KE-700,Masai Mara,MRE
AS,ID,ID-JI,Masalembo Island,MSI
AS,ID,ID-SN,Masamba-Celebes Island,MXB
AF,TZ,TZ-17,Masasi,XMI
AS,PH,PH-MAS,Masbate,MBT
AF,LS,LS-A,Maseru,MSU
AS,IR,IR-30,Mashhad,MHD
AF,CD,CD-BN,Masi Manimba,MSM
AF,UG,UG-409,Masindi,KCU
AS,OM,OM-SH,Masirah,MSH
NA,US,US-IA,Mason City,MCW
AF,ER,ER-SK,Massawa,MSW
NA,US,US-NY,Massena,MSS
NA,CA,CA-BC,Masset,ZMT
OC,NZ,NZ-WGN,Masterton,MRO
AS,JP,JP-32,Masuda,IWJ
AF,ZW,ZW-MV,Masvingo,MVZ
AF,CD,CD-BC,Matadi,MAT
NA,CA,CA-QC,Matagami,YNM
NA,US,US-TX,Matagorda Island,MGI
AS,ID,ID-RI,Matak Island,MWK
AF,SN,SN-SL,Matam,MAX
NA,MX,MX-TAM,Matamoros,MAM
NA,CA,CA-QC,Matane,YME
NA,CU,CU-04,Matanzas,VRO
AS,ID,ID-NB,Mataram,LOP
AS,ID,ID-NB,Mataram-Lombok Island,AMI
OC,FJ,FJ-N,Matei,TVU
AS,JP,JP-20,Matsumoto,MMJ
AS,JP,JP-38,Matsuyama,MYJ
NA,BS,BS-IN,Matthew Town,IGA
SA,GY,GY-BA,Matthews Ridge,MWJ
SA,BR,BR-MT,Matupá,MBK
EU,FR,FR-O,Maubeuge/Élesmes,XME
SA,BR,BR-AM,Maués,MBZ
OC,CK,CK-U-A,Mauke Island,MUK
AS,ID,ID-NT,Maumere-Flores Island,MOF
AF,BW,BW-NW,Maun,MUB
AS,MM,MM-15,Mawlamyine,MNU
NA,US,US-AK,May Creek,MYK
OC,PG,PG-ESW,May River,MRH
NA,BS,BS-MG,Mayaguana,MYG
NA,PR,PR-U-A,Mayaguez,MAZ
NA,CU,CU-07,Mayajigua,MJG
NA,CA,CA-YT,Mayo,YMA
NA,US,US-FL,Mayport,NRB
AF,GA,GA-5,Mayumba,MYB
NA,MX,MX-SIN,Mazatlán,MZT
AF,ZM,ZM-05,Mbala,MMQ
OC,SB,SB-GU,Mbambanakira,MBU
AF,CD,CD-EQ,Mbandaka,MDK
AF,AO,AO-ZAI,Mbanza Congo,SSY
AF,UG,UG-410,Mbarara,MBQ
OC,FJ,FJ-W,Mbatiri,NTA
AF,TZ,TZ-14,Mbeya,MBI
AF,CF,CF-HM,Mboki,MKI
AF,CD,CD-KE,Mbuji Mayi,MJM
NA,US,US-TX,Mc Allen,MFE
NA,US,US-MS,Mc Comb,MCB
NA,US,US-NE,Mc Cook,MCK
NA,US,US-TN,Mc Minnville,RNC
OC,AU,AU-NT,McArthur River Mine,MCV
NA,US,US-ID,McCall,MYL
NA,US,US-AK,Mccarthy,MXY
NA,US,US-AK,McGrath,MCG
NA,US,US-AK,McKinley Park,MCL
NA,CA,CA-SK,Meadow Lake,YLJ
NA,US,US-PA,Meadville,MEJ
AF,DZ,DZ-45,Mecheria,MZW
AS,ID,ID-SU,Medan-Sumatra Island,MES
SA,CO,CO-ANT,Medellín,EOH
SA,CO,CO-ANT,Medellín,MDE
NA,US,US-WI,Medford,MDF
NA,US,US-OR,Medford,MFR
NA,US,US-AK,Medfra,MDR
NA,CA,CA-AB,Medicine Hat,YXH
AS,SA,SA-03,Medina,MED
SA,CO,CO-CUN,Medina,MND
AF,GQ,GQ-CS,"Médouneu, Gabon",MDV
AS,NP,NP-NA,Meghauli,MEY
EU,NO,NO-20,Mehamn,MEH
AS,CN,CN-44,Meixian,MXZ
OC,MH,MH-KWA,Mejato Island,EAL
OC,MH,MH-MEJ,Mejit Atoll,MJB
AF,GA,GA-6,Mekambo,MKB
AF,ET,ET-AM,Mekane Selam,MKS
AF,MA,MA-MEK,Meknes,MEK
NA,US,US-AK,Mekoryuk,MYU
OC,AU,AU-VIC,Melbourne,AVV
OC,AU,AU-VIC,Melbourne,MBW
OC,AU,AU-VIC,Melbourne,MEL
NA,US,US-FL,Melbourne,MLB
NA,GT,GT-PE,Melchor de Mencos,MCR
NA,US,US-VA,Melfa,MFV
AF,TD,TD-GR,Melfi,MEF
EU,ES,ES-ML,Melilla,MLN
NA,BZ,BZ-SC,Melinda,MDB
AF,CF,CF-BB,Melle,GDI
SA,UY,UY-CL,Melo,MLZ
EU,DE,DE-BY,Memmingen,FMM
NA,US,US-TN,Memphis,MEM
EU,FR,FR-U,Mende,SCP
EU,FR,FR-K,Mende/Brénoux,MEN
OC,PG,PG-SHM,Mendi,MDU
AF,ET,ET-BE,Mendi,NDM
SA,AR,AR-M,Mendoza,MDZ
AS,CN,CN-63,Mengnai,HTT
AF,GQ,GQ-WN,Mengomeyén,GEM
AF,AO,AO-CCU,Menongue,SPP
EU,ES,ES-PM,Menorca Island,MAH
OC,PG,PG-MPL,Menyamya,MYX
AS,ID,ID-PA,Merauke-Papua Island,MKQ
NA,US,US-CA,Merced,MCE
NA,US,US-CA,Merced,MER
SA,AR,AR-W,Mercedes,MDX
NA,US,US-NV,Mercury,DRA
NA,US,US-NV,Mercury,UCC
AS,ID,ID-PB,Merdei-Papua Island,RDE
NA,MX,MX-YUC,Mérida,MID
SA,VE,VE-L,Mérida,MRD
NA,US,US-MS,Meridian,MEI
OC,AU,AU-NSW,Merimbula,MIM
SA,AR,AR-D,Merlo,RLO
OC,AU,AU-QLD,Merluna,MLV
AF,SD,SD-01,Merowe,MWE
NA,US,US-WI,Merrill,RRL
NA,CA,CA-BC,Merritt,YMB
NA,US,US-FL,Merritt Island,COI
AF,EG,EG-MT,Mersa Matruh,MUH
AS,MY,MY-01,Mersing,MEP
AF,KE,KE-400,Meru-Kinna,JJM
EU,FR,FR-O,Merville/Calonne,HZB
NA,US,US-AZ,Mesa,MSC
NA,US,US-NV,Mesquite,MFH
AF,ET,ET-AM,Metema,ETE
EU,FR,FR-M,Metz / Nancy,ETZ
EU,FR,FR-M,Metz/Frescaty,MZM
NA,MX,MX-BCN,Mexicali,MXL
NA,MX,MX-BCN,Mexicali,SFH
NA,MX,MX-DIF,Mexico City,MEX
NA,US,US-AK,Meyers Chuck,WMK
AF,ZM,ZM-03,Mfuwe,MFU
NA,US,US-FL,Miami,MIA
NA,US,US-FL,Miami,MPB
NA,US,US-FL,Miami,TMB
NA,US,US-FL,Miami,TNT
AS,PK,PK-PB,Mianwali,MWD
AS,CN,CN-51,Mianyang,MIG
NA,US,US-IN,Michigan City,MGC
NA,TC,TC-MC,Middle Caicos,MDS
NA,US,US-AK,Middleton Island,MDO
AF,NA,NA-OD,Midgard,MQG
NA,US,US-TX,Midland,MAF
NA,US,US-TX,Midland,MDD
AF,ZA,ZA-GT,Midrand,GCJ
EU,FI,FI-IS,Mikkeli,MIK
EU,IT,IT-25,Milan,LIN
EU,IT,IT-25,Milan,MXP
EU,GB,GB-ENG,Mildenhall,MHZ
OC,AU,AU-VIC,Mildura,MQL
NA,US,US-MT,Miles City,MLS
OC,MH,MH-MIL,Mili Island,MIJ
OC,AU,AU-NT,Milingimbi Island,MGT
NA,MX,MX-BCN,Military Camp Number 2-D,SNQ
NA,US,US-TN,Millington,NQA
EU,GR,GR-82,Milos Island,MLO
NA,US,US-FL,Milton,NSE
NA,US,US-WI,Milwaukee,MKE
SA,BR,BR-GO,Minaçu,MQH
AS,JP,JP-47,Minamidaitō,MMD
NA,MX,MX-VER,Minatitlán,MTT
NA,US,US-NV,Minden,MEV
OC,PG,PG-MPL,Mindik,MXK
AS,ID,ID-PA,Mindiptana-Papua Island,MDP
NA,US,US-TX,Mineral Wells,MWL
EU,RU,RU-STA,Mineralnyye Vody,MRV
NA,CA,CA-BC,Miners Bay,YAV
NA,CA,CA-QC,Mingan,YLP
AF,NG,NG-NI,Minna,MXJ
NA,US,US-MN,Minneapolis,FCM
NA,US,US-MN,Minneapolis,MSP
NA,US,US-WI,Minocqua-Woodruff,ARV
NA,US,US-ND,Minot,MOT
EU,BY,BY-MI,Minsk,MHP
EU,BY,BY-MI,Minsk,MSQ
AF,GA,GA-9,Minvoul,MVX
AF,EG,EG-MN,Minya,EMY
NA,PM,PM-ML,Miquelon,MQC
SA,CO,CO-GUV,Miraflores,MFS
SA,AR,AR-B,Miramar,MJR
NA,CA,CA-NB,Miramichi,YCH
OC,AU,AU-QLD,Miranda Downs,MWY
AS,MY,MY-13,Miri,MYY
AS,RU,RU-SA,Mirny,MJZ
AS,PK,PK-SD,Mirpur Khas,MPD
AS,PK,PK-SD,Mirpur Khas,SKZ
AS,JP,JP-02,Misawa,MSJ
OC,PG,PG-MBA,Misima Island,MIS
EU,HU,HU-BZ,Miskolc,MCQ
AF,LY,LY-MI,Misratah,MRA
NA,US,US-MT,Missoula,MSO
NA,US,US-SD,Mitchell,MHE
OC,AU,AU-WA,Mitchell Plateau,MIH
OC,CK,CK-U-A,Mitiaro Island,MOI
SA,CO,CO-VAU,Mitú,MVP
AF,GA,GA-9,Mitzic,MZC
AS,JP,JP-13,Miyakejima,MYE
AS,JP,JP-47,Miyako City,MMY
OC,PG,PG-SAN,Miyanmin,MPX
AS,JP,JP-45,Miyazaki,KMI
AF,ET,ET-GA,Mizan Teferi,MTF
AF,ZA,ZA-EC,Mkambati,MBM
AS,MM,MM-05,Mkeik,MGZ
AF,ZA,ZA-NL,Mkuze,MZQ
EU,NO,NO-18,Mo i Rana,MQN
NA,CU,CU-11,Moa,MOA
OC,AU,AU-QLD,Moa Island,KUG
NA,US,US-UT,Moab,CNY
AF,GA,GA-5,Moabi,MGX
OC,FJ,FJ-E,Moala,MFJ
AS,ID,ID-PA,Moanamani-Papua Island,ONI
AF,GA,GA-2,Moanda,MFF
AF,CD,CD-KA,Moba,BDV
NA,US,US-MO,Moberly,MBY
NA,US,US-AL,Mobile,BFM
NA,US,US-AL,Mobile,MOB
NA,US,US-SD,Mobridge,MBG
AF,MZ,MZ-P,Mocímboa da Praia,MZB
SA,BR,BR-SP,Mococa,QOA
NA,US,US-CA,Modesto,MOD
SA,SR,SR-MA,Moengo,MOJ
AS,PK,PK-SD,Moenjodaro,MJD
AF,SO,SO-BN,Mogadishu,MGQ
EU,BY,BY-MA,Mogilev,MVQ
AS,CN,CN-23,Mohe,OHE
AS,CN,CN-23,Mohe,OHE
AS,CN,CN-23,Mohe,OHE
NA,US,US-CA,Mojave,MHV
AF,LS,LS-J,Mokhotlong,MKH
OC,PG,PG-MPM,Moki,MJJ
NA,US,US-HI,Mokuleia,HDH
AF,NA,NA-OT,Mokuti Lodge,OKU
NA,US,US-IL,Moline,MLI
AF,KE,KE-300,Mombasa,MBA
NA,US,US-TX,Monahans,MIF
AF,TN,TN-52,Monastir,MIR
AS,JP,JP-01,Monbetsu,MBE
EU,DE,DE-NW,Mönchengladbach,MGL
NA,CA,CA-NB,Moncton,YQM
EU,ES,ES-AR,Monflorite/Alcalá del Obispo,HSK
SA,CO,CO-VAU,Monfort,MFB
AS,MM,MM-17,Mong Hsat,MOG
AS,MM,MM-17,Mong Tong,MGK
AF,TD,TD-GR,Mongo,MVO
AF,ZM,ZM-01,Mongu,MNR
AF,MW,MW-MG,Monkey Bay,MYZ
SA,GY,GY-PT,Monkey Mountain,MYM
NA,US,US-LA,Monroe,MLU
NA,US,US-AL,Monroeville,MVC
AF,LR,LR-MO,Monrovia,MLW
AF,LR,LR-MG,Monrovia,ROB
NA,CA,CA-QC,Mont-Joli,YYY
NA,US,US-CA,Montague,ROF
EU,FR,FR-N,Montauban,XMW
SA,BR,BR-PA,Monte Alegre,MTE
SA,AR,AR-W,Monte Caseros,MCS
NA,JM,JM-08,Montego Bay,MBJ
SA,CO,CO-COR,Montelíbano,MTB
SA,BR,BR-RS,Montenegro,QGF
AF,MZ,MZ-P,Montepuez,MTU
NA,US,US-CA,Monterey,MRY
SA,CO,CO-COR,Montería,MTR
NA,MX,MX-NLE,Monterrey,MTY
SA,BR,BR-MG,Montes Claros,MOC
SA,UY,UY-CA,Montevideo,MVD
NA,US,US-NY,Montgomery,MGJ
NA,US,US-AL,Montgomery,MGM
NA,US,US-UT,Monticello,MXC
NA,US,US-IN,Monticello,SIV
EU,IT,IT-25,Montichiari (BS),VBS
EU,FR,FR-L,Montluçon/Guéret,MCU
EU,FR,FR-K,Montpellier/Méditerranée,MPL
NA,CA,CA-QC,Montreal,YCV
NA,CA,CA-QC,Montréal,YHU
NA,CA,CA-QC,Montréal,YMX
NA,CA,CA-QC,Montréal,YUL
NA,US,US-CO,Montrose,MTJ
OC,AU,AU-SA,Moolawatana Station,MWT
NA,CA,CA-SK,Moose Jaw,YMJ
NA,CA,CA-ON,Moosonee,YMO
AF,MG,MG-M,Morafenobe,TVA
AF,MG,MG-A,Moramanga,OHB
OC,AU,AU-QLD,Moranbah,MOV
OC,AU,AU-NSW,Moree,MRZ
OC,PG,PG-WPD,Morehead,MHY
NA,MX,MX-MIC,Morelia,MLM
OC,AU,AU-QLD,Moreton,MET
NA,US,US-WV,Morgantown,MGW
SA,CO,CO-VAU,Morichal,MHF
EU,FR,FR-E,Morlaix/Ploujean,MXN
OC,PG,PG-SHM,Moro,MXH
OC,PG,PG-MPL,Morobe,OBM
EU,ES,ES-AN,Morón,OZP
AS,MN,MN-041,Mörön,MXV
AF,KM,KM-G,Moroni,HAH
AF,KM,KM-G,Moroni,YVA
NA,US,US-NJ,Morristown,MMU
NA,US,US-VT,Morrisville,MVL
OC,AU,AU-NSW,Moruya,MYA
OC,AU,AU-VIC,Morwell,TGN
EU,RU,RU-MOS,Moscow,BKA
EU,RU,RU-MOS,Moscow,CKL
EU,RU,RU-MOS,Moscow,DME
EU,RU,RU-MOS,Moscow,SVO
EU,RU,RU-MOS,Moscow,VKO
NA,US,US-WA,Moses Lake,MWH
AF,TZ,TZ-09,Moshi,QSI
NA,US,US-WI,Mosinee,CWA
AF,ZA,ZA-WC,Mossel Bay,MZY
AF,CG,CG-9,Mossendjo,MSX
SA,BR,BR-RN,Mossoró,MVF
EU,BA,BA-BIH,Mostar,OMO
AS,MY,MY-12,Mostyn,MZS
AS,IQ,IQ-NI,Mosul,OSB
AF,ZA,ZA-MP,Motswari Private Game Reserve,MWR
OC,PF,PF-U-A,Motu Mute,BOB
AF,DJ,DJ-DJ,Moucha Island,MHI
AF,MR,MR-05,Moudjeria,MOM
OC,PG,PG-WPD,Mougulu,GUV
AF,GA,GA-4,Mouila,MJL
NA,US,US-GA,Moultrie,MGR
NA,US,US-MI,Mount Clemens,MTC
AF,NA,NA-OD,Mount Etjo Safari Lodge,MJO
OC,AU,AU-QLD,Mount Gordon Mine,GPD
OC,AU,AU-SA,Mount Gunson,GSN
OC,PG,PG-WHM,Mount Hagen,HGU
NA,US,US-NJ,Mount Holly,LLY
OC,AU,AU-VIC,Mount Hotham,MHU
OC,AU,AU-QLD,Mount Isa,ISA
SA,FK,FK-U-A,Mount Pleasant,MPN
NA,US,US-IA,Mount Pleasant,MPZ
AS,NP,NP-BA,Mountain,MWP
NA,US,US-ID,Mountain Home,MUO
NA,US,US-AR,Mountain Home,WMH
NA,US,US-AK,Mountain Village,MOU
AF,TD,TD-KA,Moussoro,MXR
AF,CG,CG-11,Mouyondzi,MUY
AF,ET,ET-OR,Moyale,MYS
AF,KE,KE-400,Moyale (Lower),OYL
AF,UG,UG-309,Moyo,OYG
SA,PE,PE-SAM,Moyobamba,MBP
AF,NA,NA-CA,Mpacha,MPA
AF,ZA,ZA-MP,Mpumalanga,MQP
AF,ZA,ZA-EC,Mthatha,UTT
AF,TZ,TZ-17,Mtwara,MYW
AF,ZA,ZA-NL,Mubatuba,DUK
OC,AU,AU-WA,Muccan Station,MUQ
SA,BR,BR-BA,Mucuri,MVS
AS,CN,CN-23,Mudanjiang,MDG
OC,AU,AU-NSW,Mudgee,DGE
AF,MZ,MZ-P,Mueda,MUD
OC,NC,NC-U-A,Mueo,PDC
AS,MY,MY-13,Mukah,MKM
AS,YE,YE-BA,Mukayras,UKR
AS,OM,OM-WU,Mukhaizna Oil Field,UKH
AS,ID,ID-JA,Muko Muko-Sumatra Island,MPC
NA,PA,PA-KY,Mulatupo,MPP
NA,MX,MX-BCS,Mulege,MUG
OC,AU,AU-NT,Mulga Park,MUP
AS,ID,ID-PA,Mulia-Papua Island,LII
OC,AU,AU-SA,Mulka,MVK
NA,US,US-NE,Mullen,MHN
AS,PK,PK-PB,Multan,MUX
AS,MY,MY-13,Mulu,MZV
AS,IN,IN-MM,Mumbai,BOM
AF,KE,KE-900,Mumias,MUM
NA,US,US-IN,Muncie,MIE
OC,PG,PG-ESW,Munduku,MDM
OC,AU,AU-SA,Mungeranie,MNE
EU,DE,DE-BY,Munich,MUC
EU,DE,DE-BY,Munich,MUC
EU,DE,DE-NW,Münster,FMO
EU,RU,RU-MUR,Murmansk,MMK
NA,US,US-KY,Murray,CEY
OC,AU,AU-QLD,Murray Island,MYI
NA,US,US-CA,Murrieta/Temecula,RBK
OC,PF,PF-U-A,Mururoa Atoll,UOA
AS,TR,TR-49,Muş,MSR
AS,OM,OM-MA,Muscat,MCT
NA,US,US-AL,Muscle Shoals,MSL
OC,AU,AU-QLD,Musgrave,MVU
AF,ZA,ZA-NP,Musina,MEZ
NA,US,US-MI,Muskegon,MKG
NA,US,US-OK,Muskogee,HAX
NA,CA,CA-ON,Muskoka,YQA
NA,CA,CA-ON,Muskrat Dam,MSA
AF,TZ,TZ-13,Musoma,MUZ
